IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
162.159.45.70,4,4,0.00,25.50,9.66
162.159.44.184,4,4,0.00,25.35,9.47
162.159.38.111,4,4,0.00,25.36,9.35
162.159.39.144,4,4,0.00,25.32,8.11
162.159.82.237,4,4,0.00,36.53,7.58
162.159.81.240,4,4,0.00,79.40,7.25
198.41.218.101,4,4,0.00,25.77,6.92
162.159.160.122,4,4,0.00,80.87,6.70
172.64.232.157,4,4,0.00,166.67,6.28
162.159.80.99,4,4,0.00,167.47,5.58
172.64.233.97,4,4,0.00,78.90,5.51
172.64.234.49,4,4,0.00,37.10,4.17
162.159.203.59,4,4,0.00,97.76,0.00
172.64.78.171,4,4,0.00,30.82,0.00
